,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
237333,A-2953940,2,2020-12-31 19:20:00,2020-12-31 20:58:08,37.006813,-121.558409,37.002583,-121.556529,0.31,Incident on US-101 SB near CA-152 Right shoulder closed.,,S Valley Fwy S,R,Gilroy,Santa Clara,CA,95020,US,US/Pacific,KE16,2020-12-31 19:15:00,50.0,50.0,76.0,29.83,10.0,NW,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
237373,A-2953980,2,2020-12-31 18:54:44,2020-12-31 20:56:33,34.192729,-82.198256,34.192463,-82.198026,0.023,Incident on TIMBERWOOD RD near CHINQUAPIN RD Drive with caution.,100.0, Timberwood Rd,L,Greenwood,Greenwood,SC,29646-8543,US,US/Eastern,KGRD,2020-12-31 18:56:00,51.0,51.0,100.0,29.49,6.0,NNW,3.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
237396,A-2954003,2,2020-12-31 00:24:04,2020-12-31 03:11:22,34.020008,-81.1053,34.027268,-81.101716,0.542,Slow traffic on I-26 W from US-378/Exit 110 (I-26) to I-126/US-76 (I-26) due to accident.,,I-26 W,R,West Columbia,Lexington,SC,29169,US,US/Eastern,KCAE,2020-12-31 00:21:00,44.0,44.0,89.0,29.94,4.0,CALM,0.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
237557,A-2954167,2,2020-12-31 20:09:31,2020-12-31 22:09:31,45.466629,-122.693606,45.463319,-122.699676,0.373,A disabled vehicle is creating a hazard causing no to minimum delays. Use caution.,,I-5 S,R,Portland,Multnomah,OR,97219,US,US/Pacific,KPDX,2020-12-31 20:17:00,48.0,45.0,83.0,30.15,10.0,E,7.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
237563,A-2954173,2,2020-12-31 21:09:24,2020-12-31 21:49:45,45.522671,-118.441116,45.503096,-118.423115,1.609,Stationary traffic on Old Oregon Trail Hwy No 6 - I-84 E - US-30 E - Old Oregon Trl from Emigrant Spring State Park/Exit 234 (I-84) to Exit 238 (I-84) due to accident.,,US-30 E,R,Pendleton,Umatilla,OR,97801,US,US/Pacific,KPDT,2020-12-31 20:53:00,44.0,41.0,73.0,28.57,10.0,S,6.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
237603,A-2954214,2,2020-12-31 21:38:00,2020-12-31 23:59:41,38.653092,-121.272444,38.65286,-121.272483,0.016,Incident on SUNRISE BLVD SB near SUNSET AVE Right shoulder closed.,4821.0, Sunrise Blvd,L,Fair Oaks,Sacramento,CA,95628-5847,US,US/Pacific,KMHR,2020-12-31 21:45:00,50.0,50.0,71.0,29.98,10.0,N,7.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
237737,A-2954350,2,2020-12-31 03:40:00,2020-12-31 07:16:24,34.504225,-117.572887,34.50629,-117.572884,0.143,1039 GandM//BOT,13957.0, Sheep Creek Rd,R,Phelan,San Bernardino,CA,92371,US,US/Pacific,KGXA,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
237758,A-2954371,2,2020-12-31 14:03:30,2020-12-31 19:57:00,38.495985,-121.458262,38.496005,-121.45362,0.251,Stationary traffic from Franklin Blvd (Florin Rd) to CA-99 (Florin Rd) due to accident.,4176.0, Florin Rd,L,Sacramento,Sacramento,CA,95823-2507,US,US/Pacific,KSAC,2020-12-31 13:53:00,59.0,59.0,49.0,30.11,10.0,NNW,15.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
237766,A-2954379,2,2020-12-31 02:20:00,2020-12-31 03:59:16,39.853697,-84.273385,39.854181,-84.274057,0.049,Incident on N MAIN ST near GARBER RD Drive with caution.,8998.0, N Main St,R,Dayton,Montgomery,OH,45415-1334,US,US/Eastern,KDAY,2020-12-31 01:56:00,31.0,21.0,85.0,29.02,10.0,WNW,14.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
237875,A-2954488,2,2020-12-31 06:48:00,2020-12-31 08:03:20,29.15515,-82.18489,29.18234,-82.18463,1.879,Incident on I-75 NB near MM 350 Drive with caution.,,I-75 N,R,Ocala,Marion,FL,34474,US,US/Eastern,KOCF,2020-12-31 06:51:00,68.0,68.0,84.0,30.0,10.0,SE,9.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
